name,address,hours
Chopar Ц-1,"ул. Узбекистон Овози, 49, Мирзо-Улугбекский район",10:00-03:00
Chopar Экобазар,"ул. Темура Малика, Мирзо-Улугбекский район",10:00-20:00
Chorlar,"ул. Т.Расулова, 1, Чиланзарский район",11:00-00:00
Choy-Poy,"ул. Бабура, 21А, Яккасарайский район",12:00-23:00
Chustiy's Cuisine,"ул. Кораташ, 5А, Шайхантахурский район",11:00-23:00
Cinara’s,"Ташкентская область, Бостанлыкский район",11:00-23:00
City 21,"просп. Ислама Каримова, Шайхантахурский район",
City Grill,"ул. Шахрисабз, 23, Мирабадский район",12:00-23:00
City Mix,"ул. Буюк Ипак Йули, 156А, Мирзо-Улугбекский район",
Claude Monet Tashkent,"ул. Абдуллы Каххара, 48A, Яккасарайский район",
CMI afterparty bar,"ул. Кары Ниязова, 68, Мирзо-Улугбекский район",18:00-04:00
Coff Noir,"ул. Осиё, 89, Юнусабадский район",11:00-23:00
Coffee cat,"ул. Оккурган, 29, Мирзо-Улугбекский район",
Coffee Corner,"просп. Амира Темура, 24, Мирзо-Улугбекский район",08:00-21:00
Coffee Shop,"ул. Абдуллы Кадыри, 10А, Шайхантахурский район",
Coffee UP,"ул. Мустакиллик, 75, «Inkonel» бизнес-центр, Мирзо-Улугбекский район",
CoffeeBOOM,"ул. Тараса Шевченко, 21А, Мирабадский район",09:00-00:00
CoffeeMilk,"ул. Садыка Азимова, 72, Мирзо-Улугбекский район",08:00-02:00
CoffeeWine,"ул. Абдуллы Каххара, 24А, Яккасарайский район",
Coin Karaoke,"Чиланзар-16, 18А, Чиланзарский район",10:00-23:00
Colibri,"ул. Матбуотчилар, 17, Юнусабадский район",18:00-02:00
Compliment,"ул. Дурмон Йули, 20, Мирзо-Улугбекский район",12:00-00:00
Cookbook workshop,"ул. Зульфия Хоним, 18, Шайхантахурский район",08:30-22:00
Cordero Tashkent,"ул. Афросиаб, 41, Мирабадский район",
Coriander,"ул. Шифонур, 8, Олмазорский район",11:00-23:00
